"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","2057-PH1RB-02-UA-ND","PH1RB-02-UA","CONN HEADER R/A 2POS 2.54MM","","1","0","0.10000","0.10"
"2","1","S9001-ND","SPC02SYAN","CONN JUMPER SHORTING GOLD FLASH","","1","0","0.10000","0.10"
"3","5","399-9158-1-ND","C0805C104Z3VAC7800","CAP CER 0.1UF 25V Y5V 0805","","5","0","0.10000","0.50"
"4","1","AE10973-ND","A-DS 09 PP/Z","CONN D-SUB PLUG 9POS VERT SLDR","","1","0","0.70000","0.70"
"5","1","563-1102-1-ND","CUS-12TB","SWITCH SLIDE SPDT 300MA 4V","","1","0","0.70000","0.70"
"6","1","1016-1798-1-ND","SP3232EBCN-L/TR","IC TRANSCEIVER FULL 2/2 16SOIC","","1","0","1.42000","1.42"
"7","1","AE10985-ND","A-DS 25 PP/Z","CONN D-SUB PLUG 25POS VERT SLDR","","1","0","1.22000","1.22"
